Input: 1234 | Stored: 1234
Input: 1234 | Stored: 1234
Input: 1111 | Stored: 1234
Input: 1111 | Stored: 1234
Input: 1234 | Stored: 1234
Input: 1234 | Stored: 1234
Input: 1234 | Stored: 1234
Input: 1234 | Stored: 1234
Input: 1234 | Stored: 1234
Input: 1972 | Stored: 1234
Input: 1234 | Stored: 1234
Input: 1972 | Stored: 1234
Input: 1234 | Stored: 1234
Input: 1234 | Stored: 1234
Input: 1234 | Stored: 1234
Input: 1972 | Stored: 1234
Input: 2222 | Stored: 1234
Input: 2255 | Stored: 1234
Input: 1231 | Stored: 1234
Input: 1234 | Stored: 1234
